date,open,high,low,close,volume,ma_10,rsi,next_day_movement,future_price
06/02/24,196.x,NaN,201.x,191.53,,ERROR,none,Up,155.04??
21/04/24,?,205.33abc,264.7.7,NaN,"7848270,abc",286.x,low,Down,156.61??
2024-01-11,none,196.9.7,158.0.6,(203.58),{3386329},156.56abc,6.11.x,???,NaN
30/04/24,133.2.6,(273.86),278.05abc,217.78abc,,213.66abc,1.96,???,NaN
2024/04/30,NaN,none,194.4.8,187.x,"8502334,abc",none,high,Up,outlier
2024/01/23,NaN,189.47,(247.0),(211.68),,253.31abc,high,Up,outlier
28/01/24,?,none,159.6.9,none,{3715333},274.x,72.34,???,outlier
2024/04/27,186.19,ERROR,184.x,(249.83),Null,195.82,high,???,216.55
2024/02/23,157.x,NaN,NaN,NaN,,none,5.51,↓,214.64??
2024-02-16,289.22abc,282.32,271.6,ERROR,Null,174.x,?,Down,outlier
21/04/24,ERROR,(148.44),144.42,114.54,2393403,249.5.2,19.57,Down,NaN
22/02/24,(132.09),166.x,134.43abc,280.1.6,,ERROR,76.86,down,outlier
2024**04**05,(163.16),202.7.5,252.x,none,"7894276,abc",261.37abc,?,↓,outlier
06/02/24,NaN,110.x,237.8.4,NaN,4884470,none,80.11,Up,172.03??
2024/04/20,none,(107.03),113.2.6,(149.34),,132.18,53.36,Down,259.37??
2024-04-09,NaN,ERROR,207.x,107.6.8,"3424935,abc",(206.68),none,↑,outlier
2024/03/15,174.3.2,NaN,(284.88),?,,180.25,765,???,135.25??
11-01-2024,104.x,NaN,ERROR,155.16,Null,ERROR,86.49.x,↓,102.91
19-04-2024,?,113.69abc,224.2.2,125.8.2,,ERROR,none,???,189.34??
2024/03/27,none,NaN,none,178.03,Null,232.x,low,↓,NaN
04-03-2024,249.9.4,?,?,none,4135863,225.11,974,Up,259.9??
21/03/24,109.29,ERROR,?,254.6.9,Null,none,1.04,UP,103.77??
2024-04-02,294.6.4,241.2.7,194.97abc,169.x,3535667,121.4.9,88.73,Up,outlier
26/02/24,117.x,ERROR,none,?,Null,none,81.15,UP,outlier
2024-03-13,none,ERROR,NaN,(108.33),,156.3.3,77.1.x,↓,186.62
01/04/24,116.06,222.3.9,236.x,168.59abc,3736515,none,99.6.x,↑,129.94??
09/04/24,?,114.9.9,230.x,209.02abc,{8700964},181.6.9,61.69,↓,245.06
2024/04/12,141.7.6,NaN,250.7,(174.34),{7577407},271.19abc,31.75.x,Down,NaN
2024/02/26,285.x,none,244.1.9,?,,255.65abc,56.33.x,↓,182.68
2024/02/28,(166.89),none,none,201.09,5352732,110.08,?,↓,243.73??
14/04/24,NaN,143.x,(134.32),297.5.4,{7050262},125.7.0,10.86,UP,outlier
2024/02/19,257.97abc,?,(252.73),none,{1114394},NaN,31.1,down,outlier
31-01-2024,NaN,ERROR,none,243.x,"6426336,abc",244.78abc,41.05.x,↓,NaN
2024/04/09,299.22abc,247.53,243.7abc,267.83,,ERROR,87.89,Down,NaN
2024-04-20,145.x,none,153.91abc,105.21,,281.x,low,↓,108.81??
26-03-2024,none,none,ERROR,?,6221314,216.7.7,14.03,↓,218.6
22-02-2024,143.73abc,none,277.x,135.x,"8606807,abc",none,11.88,down,270.24
2024-02-01,?,?,178.39,282.25abc,"3185740,abc",?,36.21.x,Up,245.6
2024**04**05,none,213.82,?,NaN,{4073892},none,449,Down,278.28??
2024-03-03,(101.47),(219.15),229.01,NaN,{8263303},193.x,72.92.x,Down,208.48??
01/02/24,(107.77),235.4abc,(108.68),212.2.0,{7729260},227.52abc,408,UP,NaN
2024/04/27,NaN,NaN,none,ERROR,,284.9.6,668,Up,NaN
2024-02-05,284.8.0,none,(161.79),NaN,2849455units,(126.6),high,UP,NaN
09-13-2024,232.x,284.31,112.x,111.x,{4672836},?,?,↓,NaN
2024/03/12,(247.78),126.01abc,175.76abc,271.x,{2825618},(137.12),1161,down,NaN
2024/03/14,(159.37),ERROR,242.89,164.29abc,"4237581,abc",none,97.52,↑,183.7
01/01/24,264.x,none,ERROR,ERROR,Null,ERROR,none,???,NaN
14-02-2024,none,218.82abc,NaN,255.51,"3009455,abc",?,18.78.x,Down,293.1
2024/04/03,ERROR,234.13,(231.06),165.03,Null,107.6.8,78.38.x,UP,136.99
2024**04**05,none,NaN,(168.63),none,3734871,none,low,???,outlier
23-03-2024,?,ERROR,239.x,165.x,"1063002,abc",none,94.47,down,NaN
2024-01-04,ERROR,(190.95),ERROR,none,Null,157.x,low,???,211.74
2024/01/30,(224.93),(284.42),none,ERROR,"4635718,abc",ERROR,386,down,133.46??
30/03/24,135.99abc,296.52abc,ERROR,?,,none,high,Up,119.72
2024-03-31,none,107.5.4,?,?,Null,(207.51),31.63,UP,outlier
14-02-2024,none,?,none,296.2.0,3750491,265.07,?,UP,279.11??
2024/02/24,152.x,ERROR,270.15abc,ERROR,"3963645,abc",?,67.36,down,NaN
2024**04**05,none,?,NaN,142.22abc,4942810units,143.91abc,40.96.x,down,outlier
10/01/24,ERROR,218.2.8,NaN,NaN,"3526422,abc",158.8abc,63.09,UP,outlier
2024/01/20,NaN,189.x,none,229.x,1820634,247.0.9,964,Up,NaN
03-03-2024,none,130.x,132.43,207.11,"1719387,abc",ERROR,?,↓,276.49??
2024-01-05,139.x,?,?,none,Null,220.21,1051,↑,111.59??
2024/02/18,216.15,?,171.68,244.7.3,,175.85,98.61.x,↓,195.59??
2024/01/23,224.69abc,?,168.97,none,,none,none,Down,255.11??
23/04/24,251.21abc,NaN,none,?,"3136449,abc",ERROR,100,???,outlier
2024-02-15,(109.54),NaN,(183.69),(221.71),6440162units,(295.25),13.47,???,NaN
2024/03/20,294.11abc,?,213.3,NaN,4305506units,?,92.98.x,↑,191.04
2024-01-03,218.49abc,171.x,111.07,186.x,2553273,NaN,43.96,Down,NaN
2024-04-02,171.x,(161.66),184.06,none,"5716156,abc",?,-23,down,outlier
30-03-2024,?,260.9.9,NaN,(207.32),{4881679},ERROR,42.53.x,Down,outlier
01/01/24,NaN,294.72,123.29,?,5110096,258.x,high,down,NaN
16-03-2024,110.29abc,NaN,ERROR,ERROR,,(166.13),34.25,UP,NaN
2024/01/06,(295.2),ERROR,ERROR,226.0.9,4722856units,NaN,421,???,outlier
2024-01-09,125.x,105.07abc,(109.04),290.51abc,Null,177.87,?,Down,NaN
2024-01-29,212.3.5,NaN,ERROR,(226.72),,?,57.2,Up,289.88??
21/02/24,NaN,?,172.x,none,{6987517},131.39abc,high,???,NaN
12-13-2024,154.3,(246.52),133.34abc,114.5.5,"8158061,abc",ERROR,57.24.x,UP,267.43
05-02-2024,ERROR,195.23abc,(149.24),ERROR,{2425978},ERROR,89.27.x,UP,295.8
31-01-2024,ERROR,?,?,202.x,,NaN,1350,↓,142.1??
03/03/24,NaN,274.8.7,(249.67),ERROR,Null,NaN,43.25,???,NaN
16/04/24,169.7.7,151.x,137.54,(164.27),"7693621,abc",(247.8),64.89.x,???,outlier
03/01/24,none,160.8.9,ERROR,254.0.5,3687560,none,none,↓,266.72
2024/01/11,120.x,ERROR,none,none,Null,(181.09),63.03,UP,204.17
2024-01-21,(107.65),(265.02),NaN,?,Null,109.4.6,529,???,128.68
16-02-2024,NaN,133.x,NaN,281.97abc,,131.x,19.58.x,↓,NaN
2024-02-13,228.78abc,NaN,160.53abc,ERROR,"1292173,abc",none,?,down,114.9
02/02/24,255.98,ERROR,285.46abc,126.04,4718985units,128.9.4,766,↑,167.16??
2024-01-24,201.x,115.x,(205.33),ERROR,,220.07abc,71.51.x,Up,NaN
2024/03/07,none,(111.84),(236.0),ERROR,,199.7.8,59.73.x,↑,NaN
2024**04**05,NaN,250.2.5,292.39,none,,(297.14),64.8,???,225.08??
2024-04-30,none,234.x,ERROR,(201.85),{5514202},265.69,597,↓,outlier
27/02/24,none,ERROR,ERROR,NaN,7647753units,ERROR,86.8,down,NaN
19/13/24,ERROR,NaN,231.6.4,274.x,Null,ERROR,73.8,↑,287.2
18-04-2024,119.x,286.x,(211.41),ERROR,Null,ERROR,?,Down,NaN
04/02/24,138.3.1,none,?,NaN,8691123,?,40.34,UP,293.36
23-03-2024,none,?,150.01,116.43abc,3715291,241.07,38.51.x,UP,110.25
02-01-2024,?,ERROR,ERROR,147.9,"7917337,abc",none,1125,Down,NaN
2024/01/19,?,137.3.8,none,208.x,{5035263},245.x,11.44,↑,outlier
2024-01-28,ERROR,NaN,ERROR,NaN,Null,?,230,UP,outlier
01/02/24,242.0.5,143.x,NaN,(232.81),Null,none,54.47.x,UP,122.7??
2024/03/13,none,(214.8),194.x,ERROR,Null,?,43.53.x,???,outlier
29/02/24,160.86abc,245.48,?,262.12,Null,129.6.0,?,???,outlier
21/04/24,none,NaN,173.3,NaN,{5112474},242.3.9,36.75,down,104.52
2024-04-28,none,160.53,239.15abc,NaN,,?,93.05.x,down,outlier
18-02-2024,291.3,239.x,283.48,ERROR,{2060646},193.12abc,52.14,↑,124.01??
08/03/24,NaN,?,NaN,293.19abc,"6307618,abc",ERROR,none,down,261.56??
03-03-2024,130.06,ERROR,none,ERROR,8309919,249.2.6,1492,↑,outlier
05-03-2024,?,ERROR,104.35abc,NaN,{5851138},186.9.5,low,Down,outlier
2024/04/19,107.0.1,161.x,NaN,ERROR,"5029244,abc",127.61,?,???,outlier
2024-02-29,(281.9),?,none,235.x,,(224.14),none,UP,100.38??
23/04/24,(188.93),?,145.x,none,,111.06,1494,↑,286.13??
23-04-2024,146.x,285.3.9,?,167.86abc,,190.23abc,153,???,outlier
01-01-2024,128.96abc,201.37abc,NaN,ERROR,{8033993},NaN,?,Down,205.52
26/03/24,none,ERROR,ERROR,234.3.2,{2826883},293.x,55.2.x,Down,NaN
19/02/24,(209.91),NaN,212.24,(149.31),Null,none,43.95,Up,NaN
2024/03/31,ERROR,ERROR,288.8.6,151.9.0,Null,199.87,47.26,down,NaN
26/03/24,117.x,127.x,182.49abc,259.09,6538717units,ERROR,62.08,???,269.12
2024/01/06,224.81abc,164.87,?,(218.2),{1785222},none,32.29,???,101.24
2024**04**05,ERROR,173.36,NaN,102.x,1382293units,125.88abc,78.9,↓,111.93??
2024/01/07,130.x,none,?,NaN,8634761,118.x,12.28,???,NaN
2024-03-25,none,none,(284.89),none,"1174631,abc",243.26abc,16.33.x,down,240.32??
26-03-2024,274.2.7,none,294.1.2,106.0.0,8345101,153.11,45.93,↓,NaN
25/03/24,300.x,?,279.31,?,"4116196,abc",?,73.51,Up,154.99
2024/01/01,?,(100.07),?,250.x,{4362152},142.6.5,40.81,???,257.11
01/01/24,(263.87),ERROR,192.21abc,278.x,{1933358},NaN,1047,Down,227.41??
2024-03-01,127.8.2,201.16,(267.73),229.x,Null,NaN,77.71,???,229.72??
18/02/24,169.33abc,NaN,(151.74),102.x,,116.0abc,91.88,down,225.82??
2024/13/27,231.1,NaN,none,234.52,Null,144.23abc,19.12.x,Up,275.6??
01/03/24,230.72,NaN,(213.11),ERROR,8071775,219.79abc,59.5,Up,NaN
01/01/24,?,ERROR,none,none,,253.66,90.79.x,Down,135.68
29-01-2024,?,170.x,(140.22),125.93abc,5765993,190.38abc,89.25.x,↓,215.82
24-03-2024,163.4.6,203.4.1,295.3.3,NaN,4003294,150.85abc,70.36.x,down,144.29??
24-02-2024,226.x,260.75abc,?,196.0.5,Null,none,89.59.x,Up,NaN
2024/01/05,NaN,(143.88),180.x,216.0.7,"1951674,abc",(104.86),49.36,↓,outlier
27-01-2024,190.32,none,(116.16),265.65,{2276270},290.x,72.87,↓,184.91
2024**04**05,252.3.7,?,170.5,213.3.4,7209907,188.x,70.95,UP,277.96
2024/04/06,none,none,ERROR,ERROR,{5932128},none,1498,Up,284.39
21-03-2024,(271.39),NaN,119.58,240.82,,202.66,605,UP,236.93??
18-01-2024,224.94,(223.12),220.11abc,NaN,Null,115.69,39.21,↓,258.38??
2024/02/18,189.67,none,151.0,146.3.6,6718616,197.9,6.82,Down,207.19
2024/01/23,?,NaN,none,278.34,"2486376,abc",?,31.49,down,128.3??
04/04/24,123.96abc,ERROR,191.x,none,{5661555},102.x,75.29.x,Down,outlier
03/01/24,?,?,215.27abc,201.04abc,6507816,ERROR,166,Down,281.73??
2024/02/14,(298.74),201.5.5,208.22abc,131.4.8,3328984,258.17abc,813,UP,225.02??
2024-04-06,112.0,NaN,206.43,(114.81),,136.79,128,down,outlier
2024/01/26,none,214.25abc,(203.07),231.x,2235578,none,64.37,Up,outlier
2024/04/03,ERROR,(202.4),none,NaN,,270.35abc,none,Up,outlier
2024**04**05,221.1.2,158.15,?,257.45,{1425604},none,89,↑,NaN
2024-04-28,ERROR,ERROR,?,ERROR,Null,?,36.51,Up,NaN
2024-03-20,ERROR,294.x,NaN,(132.47),8016068,263.28,high,↓,223.35
28-02-2024,none,239.x,284.4.5,100.6.8,"6769916,abc",?,low,↓,outlier
2024-03-24,240.02,ERROR,none,214.48abc,4067352units,223.8.1,480,↓,outlier
2024/01/12,(244.89),?,154.63,297.5.3,Null,(121.79),421,UP,NaN
2024-02-01,(218.4),(293.37),222.92abc,ERROR,8256337,ERROR,high,Up,outlier
2024/02/09,NaN,ERROR,NaN,278.3.7,,(261.08),1201,Up,outlier
2024/03/14,none,185.x,none,187.04,1106886,none,high,↑,110.99
12-03-2024,none,278.x,none,?,{5220119},NaN,498,Up,188.83
07/04/24,100.7.7,none,179.03,154.9.0,,216.62,12.24.x,UP,outlier
15-04-2024,256.36,none,none,279.53,"3002472,abc",none,84.68,Up,outlier
21-03-2024,(206.11),142.x,190.27,195.01,Null,NaN,?,???,outlier
2024/01/05,(289.98),250.01abc,247.4.4,none,Null,none,32.21.x,Down,outlier
2024/02/08,NaN,none,none,?,4101425units,(282.6),1145,???,outlier
2024/03/07,119.x,219.x,250.37,none,Null,224.4,90.4,???,NaN
2024/03/19,142.3.8,260.x,none,272.1.3,5533561,216.25,high,↓,NaN
2024/03/25,NaN,none,(193.98),none,2081086,242.2.6,90.51,UP,outlier
2024/02/03,194.3.1,296.x,NaN,?,6410516,(246.38),86.88,Down,280.98??
18/01/24,ERROR,153.78abc,157.x,207.0.3,Null,none,none,↓,143.25
27/03/24,none,NaN,NaN,(121.03),,none,98.61,↑,130.78
29-01-2024,none,267.07abc,233.9,(207.23),,191.75abc,52,UP,outlier
24-02-2024,?,NaN,247.9.2,NaN,Null,NaN,?,Up,outlier
2024-03-24,(177.66),235.69abc,?,220.41abc,Null,(233.87),1.85.x,down,196.98
2024-01-06,none,159.5.4,136.1.4,263.3.4,,ERROR,57.06,Down,193.67??
2024/04/24,NaN,NaN,(250.53),?,4473711,?,365,UP,111.07
2024-01-25,175.15,NaN,285.43abc,?,{3111330},232.x,849,Down,269.75
26-02-2024,?,none,(115.13),none,4955598,none,none,down,235.08
28-01-2024,none,222.08abc,NaN,none,"7429896,abc",222.x,12.61.x,↓,NaN
19-01-2024,ERROR,146.02,248.79abc,164.64abc,{5853373},113.41,88.23,↓,outlier
2024/04/24,130.31abc,?,202.0.7,none,,?,high,down,NaN
2024**04**05,183.8.2,?,163.63,?,Null,?,21.53,down,189.65
2024/02/28,132.9.4,185.25abc,297.17,NaN,8025761units,192.77abc,98.77.x,???,127.51??
17-01-2024,ERROR,?,114.x,140.x,,251.x,low,↓,NaN
2024-03-11,ERROR,110.6.0,134.8,147.44,"3171639,abc",none,?,↓,298.51
18-01-2024,?,295.18,none,(145.06),2722198units,245.2abc,75.36,UP,NaN
2024/02/15,?,229.96abc,NaN,none,,269.x,low,↑,293.65
2024/13/21,287.x,?,167.94,181.69abc,,NaN,?,↑,213.95
08/02/24,ERROR,?,ERROR,183.74abc,,153.x,10.04,UP,NaN
29/03/24,206.x,300.x,?,none,{8795110},257.x,75.73.x,Down,NaN
2024-01-26,170.25,ERROR,239.77abc,104.32abc,"5586264,abc",none,70.94.x,↑,outlier
30/03/24,187.1abc,none,199.3.1,none,2666164,(131.39),38.14,Up,outlier
11-01-2024,182.x,196.9.5,?,127.x,Null,136.x,57.51,???,NaN
06/03/24,268.6.5,(130.43),269.11,161.9.4,"2763177,abc",NaN,124,Up,NaN
2024-01-29,(142.96),275.12abc,ERROR,none,Null,270.4.9,low,↑,outlier
2024-02-26,none,112.6.4,ERROR,111.78,,212.19,1030,Up,207.6??
18/04/24,none,?,none,ERROR,5778217,202.x,16.76.x,↑,NaN
14-04-2024,ERROR,270.08,ERROR,159.x,"6111012,abc",112.5.3,58.25.x,???,outlier
14-01-2024,284.3.0,234.3.4,NaN,NaN,Null,(291.82),976,down,outlier
08/02/24,287.46,(214.03),ERROR,298.5.3,"3727379,abc",115.x,?,Down,NaN
2024-01-12,ERROR,288.78abc,205.8.5,none,2248153,260.46abc,low,???,NaN
19-02-2024,132.21,ERROR,ERROR,243.3.9,{5598023},(281.19),15.6,↑,outlier
2024-04-20,ERROR,223.69abc,245.x,266.3.0,8033161,(192.94),?,↓,outlier
2024/02/09,144.x,NaN,213.x,?,,(233.65),1383,Down,outlier
07-01-2024,?,269.3.2,none,NaN,8297919units,163.x,69.6,down,outlier
25-04-2024,(224.95),100.x,263.75abc,202.x,4834631units,(108.35),55.1,???,NaN
04-03-2024,182.13abc,ERROR,217.x,(169.56),Null,?,79.86,down,190.12
07-02-2024,NaN,(222.41),127.3.2,none,7823647units,188.1.3,32.0.x,UP,155.14
2024-03-09,300.x,230.93abc,(180.36),NaN,"8417891,abc",225.91abc,34.69,Down,outlier
2024-04-21,none,234.41abc,173.2.5,231.2.5,,NaN,24.14,↑,230.68??
26-04-2024,NaN,?,NaN,ERROR,,289.79abc,44.72,↑,111.48
21-13-2024,?,?,ERROR,(107.44),Null,103.77,7.73.x,Up,NaN
2024/01/14,(273.93),ERROR,NaN,165.8,{5442839},?,6.95,Up,outlier
2024/01/14,(160.55),228.54,170.9.6,222.4.5,{8356532},206.x,93.83.x,Down,206.78
2024-03-20,138.59,190.x,102.63,ERROR,{2826131},238.6.6,9.49,UP,NaN
2024**04**05,(116.94),299.x,ERROR,228.81,Null,162.4abc,79.66,down,245.86
2024-03-06,NaN,?,187.4.0,none,2017943units,none,680,↑,101.22
2024/04/18,?,NaN,203.46,183.6.6,1451213,220.9abc,954,↓,outlier
2024-02-24,ERROR,ERROR,(197.24),242.6.2,8740661,196.x,244,UP,279.74
23/03/24,ERROR,none,244.44,?,1358226units,ERROR,65.99.x,↓,209.98??
2024-02-25,?,297.13abc,(184.65),295.x,"2677233,abc",137.28,4.74.x,down,NaN
26/02/24,?,288.x,285.6.4,119.x,{1662334},189.73,high,Down,NaN
19-03-2024,NaN,144.x,268.x,none,7623681units,174.3.9,59.72,Up,104.39??
2024/03/24,none,212.63,292.3,ERROR,2708824units,257.5.7,high,Down,176.58??
2024-04-25,162.91abc,NaN,101.15,?,3694369,249.07abc,?,Up,NaN
27/03/24,185.26,224.x,154.48,none,1156599,296.2.8,none,Down,196.18
01/04/24,NaN,(238.21),ERROR,175.9.2,7298347units,280.75abc,1494,down,183.54??
06-04-2024,?,none,292.48abc,101.8.5,{3983990},108.4.4,low,down,NaN
2024/02/05,261.4.8,273.0.6,197.2.6,167.11abc,"1435581,abc",none,87.12.x,???,NaN
02-04-2024,(238.38),171.x,190.8.5,299.6.5,,231.91,35,↑,185.67??
06/04/24,ERROR,277.69,185.0,246.24,1429951,?,81.53,↑,outlier
2024-01-18,?,?,224.79,NaN,{2636724},242.4.2,504,down,169.04??
2024/03/02,257.x,?,(283.78),(129.17),"1184649,abc",205.9.1,none,Up,NaN
13/03/24,253.x,?,NaN,ERROR,8579600,NaN,1402,Up,250.88
13-04-2024,NaN,267.64,133.x,ERROR,1915883units,none,37.19,↓,135.51??
06/02/24,none,(261.58),241.66abc,?,"7561648,abc",253.57abc,42.73.x,↓,NaN
2024/01/17,288.91,260.26,(153.91),(103.74),{3665246},none,none,↑,outlier
14/04/24,111.x,206.07abc,(232.76),(276.97),6206212,159.02abc,1316,UP,183.9
31-01-2024,183.37,130.6.8,192.x,none,7275626,249.13abc,55.12,Up,outlier
2024**04**05,?,101.9.2,?,118.61,{4824769},106.x,11.54,Down,outlier
2024-02-23,136.7.0,ERROR,295.9.0,247.9.7,6000501units,ERROR,high,↓,outlier
01-02-2024,?,185.05abc,162.25abc,ERROR,7432945units,ERROR,9.43,down,221.8
15/04/24,(264.59),186.29abc,127.68,NaN,,none,378,???,NaN
2024-03-29,none,NaN,NaN,299.x,5554856units,?,74.37.x,down,159.52??
23-04-2024,NaN,?,ERROR,112.x,,(197.24),36.11,UP,outlier
2024/02/08,133.1.4,(201.63),?,188.82,8364164,101.07,59.08.x,↓,264.32
2024/04/08,(173.64),118.23abc,113.02,none,Null,?,671,???,206.17
08-04-2024,?,?,211.1.2,218.7.8,3856870units,(251.32),92.0.x,Down,290.43
2024/03/10,NaN,182.9.4,ERROR,none,"2360227,abc",ERROR,high,down,154.33??
2024/04/10,159.2.8,NaN,186.x,(270.51),6704778units,154.8.0,none,down,outlier
2024-03-22,(296.58),none,291.54abc,144.x,{1091740},NaN,none,???,132.12??
10-03-2024,none,252.3.6,ERROR,(208.01),"6667509,abc",170.2.4,46.31.x,↓,NaN
2024-03-26,260.74,232.x,ERROR,210.x,,NaN,41.08,UP,283.87??
2024/01/23,137.8,NaN,none,299.15,"1676864,abc",(267.75),1352,UP,outlier
03/04/24,?,?,220.x,202.04abc,"1234257,abc",224.4.1,13.43.x,UP,outlier
20/02/24,NaN,NaN,NaN,ERROR,Null,NaN,none,↓,230.16
19/04/24,(179.1),(167.78),NaN,?,7442703units,(244.15),0.51.x,???,outlier
16-01-2024,NaN,NaN,none,ERROR,,none,98,↑,254.88??
13-01-2024,222.1.6,ERROR,243.33abc,NaN,5464915,130.53abc,none,↓,outlier
2024-02-04,(149.1),198.44abc,270.5.6,129.61abc,{8528196},203.4.0,16.28,↓,outlier
06-03-2024,101.03abc,none,ERROR,212.5.2,Null,141.51,301,↑,164.18??
2024-01-26,none,NaN,NaN,180.86abc,3108877units,245.9.9,?,UP,NaN
25-02-2024,?,none,166.11abc,NaN,5681078units,ERROR,1048,???,156.47
2024/01/12,none,ERROR,ERROR,NaN,,(115.48),699,???,101.9??
2024/04/30,217.16abc,244.84abc,131.2.6,239.9.9,Null,(190.92),?,↓,199.15??
2024-02-04,?,NaN,?,113.4,,(290.83),66.61.x,UP,299.62??
2024/01/31,?,279.99abc,ERROR,?,{1850763},ERROR,none,↓,190.97
2024-04-25,297.26,?,?,134.x,"6990314,abc",ERROR,?,down,147.37
27/02/24,181.1.0,(186.08),288.16abc,?,"1558496,abc",291.3.0,96.81.x,↓,231.85
2024/01/24,NaN,NaN,(240.82),NaN,Null,(167.42),395,Down,NaN
